"Рег. 
№
марш-рута (далее-м-та) п/п","Порядковый
№
Маршрута","Наименование
Маршрута","Наименование остановочных пунктов маршрута. Направление движения","Наименование улиц и дорог, по которым проходит маршрут","Протяженность
Маршрута","Порядок посадки и высадки пассажиров","Вид регулярных перевозок","Вид","Класс","Макс. кол-во тр. ср-в (основное+резерв)","Экологические характеристики тр.  ср-в","Дата начала          осуществления рег. перевозок","Наименование
Перевозчика","Юридический
адрес
Перевозчика","Вид сообщения (городское, пригородное)","Тариф день (стоимость проезда,руб.)","Время первого выхода на маршрут (утро)","Время последнего выхода на маршрут (вечер)","Расписание/интервальный режим (мин)","Категория лиц со льготным проездом","Телефоны перевозчика","Ответственный орган Городской Управы города Калуги","Телефон ответственного органа Городской Управы города Калуги","Координаты движения маршрута"
23,"18","СК «Квань» -
Аэропорт","ост.по    требованию - ост.по требованию -  Сиреневый 
бульвар - Правобережье - Библиотека -
Школа искусств - Шопинский поворот-поворот ул.Генерала Попова-
д.Ромоданово -
КФ МГТУ 
им.Баумана -
пл. Мира - 
ТРК «XXIвек» -
 ул.Кирова - 
ТРЦ «РИО» - Драмтеатр -  К-тр «Центральный» - пл.Победы - 
ул.Маршала 
Жукова - Торговая база -
Железнодорожная больница -
Строительный техникум -
пл.Маяковского - 
ул.Чапаева - 
Почта -
ул.Моторная -
КРЛЗ – Тайфун - 
Нефтебаза - 
п. Дубрава -
Гипермаркет 
«К-Раута» -  База -
пов. Аэропорт","ул.Взлетная;
Грабцевское шоссе; ул.Моторная; 
ул.Новаторская; ул.Заводская; 
ул.Чапаева; ул.Маршала Жукова; ул.Кирова; ул.Гагарина;
Тульское шоссе; ул.Генерала Попова; Сиреневый бульвар; ул.Комфортная","17.17","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-ний","1","любой","42369","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,6.33,23.47,"5-25","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.541022, 36.316074], [54.540467, 36.315698], [54.534633, 36.300624], [54.534459, 36.298757], [54.535494, 36.298607], [54.535419, 36.297899], [54.534459, 36.298757], [54.528569, 36.299487], [54.528394, 36.298328], [54.523926, 36.299959], [54.523002, 36.292427], [54.519657, 36.292427], [54.514913, 36.284638], [54.512766, 36.274403], [54.512728, 36.271485], [54.515712, 36.245778], [54.515625, 36.242903], [54.510531, 36.233547], [54.499729, 36.229084], [54.493323, 36.228325], [54.491175, 36.210537], [54.488901, 36.198263], [54.489026, 36.195238], [54.489201, 36.193070], [54.490176, 36.187534], [54.492224, 36.177621], [54.492636, 36.175475], [54.492224, 36.177621], [54.490176, 36.187534], [54.489201, 36.193070], [54.489026, 36.195238], [54.488901, 36.198263], [54.491175, 36.210537], [54.493323, 36.228325], [54.499729, 36.229084], [54.510531, 36.233547], [54.515625, 36.242903], [54.515712, 36.245778], [54.512728, 36.271485], [54.512766, 36.274403], [54.514913, 36.284638], [54.519657, 36.292427], [54.523002, 36.292427], [54.523926, 36.299959], [54.528394, 36.298328], [54.528569, 36.299487], [54.534459, 36.298757], [54.534633, 36.300624], [54.540467, 36.315698], [54.541022, 36.316074]]"
24,"20
(л)","скв.Медицинских сестер – 
ст. Калуга-II","ул.Привокзальная - Путепровод -
ДС «Орленок» -
с/х Академия -
с/х Выставка - 
ДС «Сокол» -
ДС  «Лесная сказка»- Бор - КФ МГТУ им.Баумана-
ТРК «XXIвек»","ул.Герцена;
ул.Кирова;
пл.Мира;
ул.Гагарина;
а/д «Подъезд к г.Калуге от М3 «Украина»; 
ул.Привок-
зальная;
ул.Плеханова; ул.Суворова","11.4","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Боль-
шой","1","-","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,6.00,21.50,"6.50, 7.55, 8.50, 10.30, 11.30, 12.30, 14.30, 15.30, 17.30, 18.40, 20.00, 21.20","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.509947, 36.231957], [54.509622, 36.229404], [54.512906, 36.211358], [54.514167, 36.207989], [54.521208, 36.195479], [54.525352, 36.180952], [54.531971, 36.169173], [54.539741, 36.155497], [54.544469, 36.150712], [54.549559, 36.142257], [54.539215, 36.128399], [54.539215, 36.128399], [54.549559, 36.142257], [54.544469, 36.150712], [54.539741, 36.155497], [54.531971, 36.169173], [54.525352, 36.180952], [54.521208, 36.195479], [54.514167, 36.207989], [54.512906, 36.211358], [54.508702, 36.233571], [54.509738, 36.234472], [54.510388, 36.233786], [54.510999, 36.234322], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
25,"20","скв.Медицинских сестер – 
ст. Калуга-II","ул.Привокзальная - Путепровод -
ДС «Орленок» -
с/х Академия -
с/х Выставка -
ДС «Сокол» -
ДС  «Лесная сказка»- Бор - КФ МГТУ им.Баумана-
ТРК «XXIвек»","ул.Герцена;
ул.Кирова;
пл.Мира;
ул.Гагарина;
а/д «Подъезд к г.Калуге от М3 «Украина»; 
ул.Привок-
зальная;
ул.Плеханова; ул.Суворова","11.4","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Сред-ний","5
(4+1)","любой","41995","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,6.30,20.10,"15-30",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.509947, 36.231957], [54.509622, 36.229404], [54.512906, 36.211358], [54.514167, 36.207989], [54.521208, 36.195479], [54.525352, 36.180952], [54.531971, 36.169173], [54.534043, 36.170804], [54.535490, 36.173422], [54.534043, 36.170804], [54.531971, 36.169173], [54.539741, 36.155497], [54.544469, 36.150712], [54.549559, 36.142257], [54.539215, 36.128399], [54.539215, 36.128399], [54.549559, 36.142257], [54.544469, 36.150712], [54.539741, 36.155497], [54.531971, 36.169173], [54.534043, 36.170804], [54.535490, 36.173422], [54.534043, 36.170804], [54.531971, 36.169173], [54.525352, 36.180952], [54.521208, 36.195479], [54.514167, 36.207989], [54.512906, 36.211358], [54.508702, 36.233571], [54.509738, 36.234472], [54.510388, 36.233786], [54.510999, 36.234322], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
26,"21 (л)","скв.Медицинских сестер –Резвань","ТРК «XXIвек» - КФ МГТУ им.Баумана - Бор - ДС «Лесная 
сказка» -
ДС«Сокол» -
с/х Выставка -
с/х Академия - ДС«Орленок» - Путепровод -
пов. Мстихино - Лагерь (ост.по требованию) -
Резвань - д.Плетеневка - Школа","ул.Плеханова;
ул.Суворова
ул.Герцена;
ул.Кирова; ул.Гагарина;
а/д «Подъезд к г.Калуге от М3 «Украина»; 
ул.Буровая; ул.Советская;
автодорога «Калуга - Вязьма»","17.2","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Сред-ний","1","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,6.10,17.55,"6.30, 7.50, 9.10, 14.20, 15.45, 17.20","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.509947, 36.231957], [54.509622, 36.229404], [54.512906, 36.211358], [54.514167, 36.207989], [54.521208, 36.195479], [54.525352, 36.180952], [54.531971, 36.169173], [54.539741, 36.155497], [54.544469, 36.150712], [54.549559, 36.142257], [54.558313, 36.125608], [54.559111, 36.124492], [54.557739, 36.119557], [54.550343, 36.111897], [54.547262, 36.109837], [54.544842, 36.110202], [54.539739, 36.106983], [54.535896, 36.108292], [54.531903, 36.111511], [54.528546, 36.108528], [54.527186, 36.106189], [54.526499, 36.102563], [54.527186, 36.106189], [54.528546, 36.108528], [54.531903, 36.111511], [54.535896, 36.108292], [54.539739, 36.106983], [54.544842, 36.110202], [54.547262, 36.109837], [54.550343, 36.111897], [54.557739, 36.119557], [54.559111, 36.124492], [54.558313, 36.125608], [54.549559, 36.142257], [54.544469, 36.150712], [54.539741, 36.155497], [54.531971, 36.169173], [54.525352, 36.180952], [54.521208, 36.195479], [54.514167, 36.207989], [54.512906, 36.211358], [54.508702, 36.233571], [54.509738, 36.234472], [54.510388, 36.233786], [54.510999, 36.234322], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
27,"22
(л)","скв.Медицинских сестер – 
Анненки  -
Калуга-II","ТРК «XXI век» - КФ МГТУ им.Баумана - Бор-ДС «Лесная 
сказка» - ДС «Сокол» - с/х выставка - Анненки
ДС «Орленок» - Путепровод - ул.Привокзальная","ул.Плеханова;
ул.Суворова;
ул.Герцена;
ул.Кирова;
ул.Гагарина;
а/д «Подъезд к г.Калуге от М3 «Украина»; ул.Вишнев-ского;
ул.Привок-зальная","11,7","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Сред-ний","1","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,8.15,18.40,"9.30, 11.00, 12.00, 13.00, 14.50, 16.10, 17.20, 18.15","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.509947, 36.231957], [54.509622, 36.229404], [54.512906, 36.211358], [54.514167, 36.207989], [54.521208, 36.195479], [54.525352, 36.180952], [54.531971, 36.169173], [54.534043, 36.170804], [54.535490, 36.173422], [54.534043, 36.170804], [54.531971, 36.169173], [54.539741, 36.155497], [54.544469, 36.150712], [54.549559, 36.142257], [54.539215, 36.128399], [54.539215, 36.128399], [54.549559, 36.142257], [54.544469, 36.150712], [54.539741, 36.155497], [54.531971, 36.169173], [54.534043, 36.170804], [54.535490, 36.173422], [54.534043, 36.170804], [54.531971, 36.169173], [54.525352, 36.180952], [54.521208, 36.195479], [54.514167, 36.207989], [54.512906, 36.211358], [54.508702, 36.233571], [54.509738, 36.234472], [54.510388, 36.233786], [54.510999, 36.234322], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
28,"22","скв.Медицинских сестер – 
Анненки","ТРК «XXI век» - КФ МГТУ им.Баумана - Бор-ДС «Лесная 
сказка» - 
ДС «Сокол» - 
с/х Выставка - Анненки
(ДС «Орленок» - Путепровод - ул.Привокзальная - для автобуса, работающего по регулируемым тарифам)","ул.Плеханова;
ул.Суворова;
ул.Герцена;
ул.Кирова;
ул.Гагарина;
а/д «Подъезд к г.Калуге от М3 «Украина»; ул.Вишнев-ского;
ул.Привок-зальная","7,7","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","15
(14+1)","любой","41507","ОАО «Таксо-парк»","г.Калуга,
Грабцевское шоссе,
д.8а","городское",22,6.15,20.50,"5-30",,"57-52-70","Управление городского хозяйства города Калуги","70-11-34","[[54.535353, 36.173797], [54.535590, 36.174135], [54.535696, 36.173882], [54.533993, 36.170809], [54.531937, 36.169151], [54.525544, 36.180234], [54.520766, 36.196165], [54.512802, 36.211357], [54.508769, 36.233523], [54.509768, 36.234445], [54.510554, 36.233802], [54.515523, 36.243222], [54.515211, 36.244380], [54.515623, 36.246118], [54.515411, 36.247663], [54.517596, 36.248693], [54.516921, 36.254358], [54.515754, 36.253789], [54.514943, 36.252459
], [54.515848, 36.245764], [54.516921, 36.244434], [54.516397, 36.242943], [54.515611, 36.242760], [54.510005, 36.232010], [54.509655, 36.229349], [54.513688, 36.209415], [54.521184, 36.195875], [54.525628, 36.180597], [54.532142, 36.169224], [54.534008, 36.170845], [54.535702, 36.173875], [54.535560, 36.174168], [54.535337, 36.173768]]"
29,"23
(л)","скв.Медицинских сестер – 
д. Колюпаново","ТРК «XXIвек» - КФ МГТУ им.Баумана - Ромоданово - Шопинский поворот- ул.Энергетиков (по требованию)-
д.Секиотово - Развилка - 
ул.Секиотовская - Лесничество - 
пов. Колюпаново","ул.Плеханова; ул.Суворова;
ул.Герцена;
ул.Кирова;
ул.Гагарина;
Тульское шоссе; автодорога «Калуга - Перемышль»; Колюпаново","9.699999999999999","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Сред-ний","1","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,7.00,21.20,"7.30, 8.00, 8.50, 9.50,11.10, 12.30, 13.50, 15.50, 17.10, 18.30, 19.50, 21.00","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.492352, 36.228325], [54.482995, 36.231415], [54.477114, 36.235851], [54.470803, 36.236280], [54.469466, 36.237653], [54.468891, 36.239413], [54.468416, 36.239691], [54.464029, 36.236237], [54.454466, 36.237782], [54.444024, 36.230121], [54.440372, 36.224929], [54.437571, 36.227525], [54.436858, 36.230443], [54.437170, 36.233876], [54.436858, 36.230443], [54.437571, 36.227525], [54.440372, 36.224929], [54.444024, 36.230121], [54.454466, 36.237782], [54.464029, 36.236237], [54.468416, 36.239691], [54.468891, 36.239413], [54.469466, 36.237653], [54.470803, 36.236280], [54.477114, 36.235851], [54.482995, 36.231415], [54.492352, 36.228325], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
30,"23","скв.Медицинских сестер – 
д. Колюпаново","ТРК «XXI век» - КФ МГТУ им.Баумана - Ромоданово - Шопинский поворот - ул.Энергетиков (по требованию) -
д.Секиотово - Развилка - 
ул.Секиотовская - Лесничество - 
пов. Колюпаново","ул.Плеханова; ул.Суворова;
ул.Герцена;
ул.Кирова;
ул.Гагарина;
Тульское шоссе; автодорога «Калуга-Перемышль»; Колюпаново","9.699999999999999","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-
ний","3
(2+1)","любой","41507","ООО «Гортранс-сервис»","г.Калуга,
ул.Московская, д.258","городское",22,6.00,21.00,"6.35, 7.30, 8.50, 12.30, 13.50, 15.10, 16.30, 17.55, 19.10, 20.20",,"59-45-15","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.492352, 36.228325], [54.482995, 36.231415], [54.477114, 36.235851], [54.470803, 36.236280], [54.469466, 36.237653], [54.468891, 36.239413], [54.468416, 36.239691], [54.464029, 36.236237], [54.454466, 36.237782], [54.444024, 36.230121], [54.440372, 36.224929], [54.437571, 36.227525], [54.436858, 36.230443], [54.437170, 36.233876], [54.436858, 36.230443], [54.437571, 36.227525], [54.440372, 36.224929], [54.444024, 36.230121], [54.454466, 36.237782], [54.464029, 36.236237], [54.468416, 36.239691], [54.468891, 36.239413], [54.469466, 36.237653], [54.470803, 36.236280], [54.477114, 36.235851], [54.482995, 36.231415], [54.492352, 36.228325], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
31,"24
(л)","скв.Медицинских сестер - дачи - 
д. Никольское","ТРК «XXIвек» -
КФ МГТУ им.Баумана - Ромоданово - Шопинский -
поворот - 
д. Секиотово - Развилка - Дачи - Березка - 
Лесовод - 2 - 
пов. Б. Козлы - Лесная поляна - Крутицы - Будаково","ул.Плеханова;
ул.Суворова;
ул.Герцена;
ул. Кирова;
 ул. Гагарина; 
Тульское шоссе","12.2","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Боль-
шой","2","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,7.00,19.15,"8.20, 9.30, 10.40, 11.50, 15.10, 16.20, 17.30, 18.40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.492352, 36.228325], [54.482995, 36.231415], [54.477114, 36.235851], [54.470803, 36.236280], [54.469466, 36.237653], [54.468891, 36.239413], [54.468607, 36.240521], [54.462864, 36.262622], [54.455763, 36.284530], [54.449799, 36.302662], [54.437368, 36.340294], [54.435191, 36.351538], [54.434741, 36.360207], [54.434116, 36.400762], [54.434741, 36.360207], [54.435191, 36.351538], [54.437368, 36.340294], [54.449799, 36.302662], [54.455763, 36.284530], [54.462864, 36.262622], [54.468607, 36.240521], [54.468891, 36.239413], [54.469466, 36.237653], [54.470803, 36.236280], [54.477114, 36.235851], [54.482995, 36.231415], [54.492352, 36.228325], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
32,,,,,,,,,,,,,,,"городское",,,,,,,"Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.493267, 36.228230], [54.491369, 36.211515], [54.488970, 36.198640], [54.488995, 36.195314], [54.489158, 36.193040], [54.492193, 36.177590], [54.492663, 36.175434], [54.495549, 36.159277], [54.496585, 36.147175], [54.495549, 36.159277], [54.492663, 36.175434], [54.492193, 36.177590], [54.489158, 36.193040], [54.488995, 36.195314], [54.488970, 36.198640], [54.491369, 36.211515], [54.493267, 36.228230], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
33,"25","скв.Медицинских сестер -
д. Шопино","ТРК «XXI век» -
КФ МГТУ им.Баумана - Ромоданово - Шопинский поворот-
поворот ул.Генерала Попова- 
Школа искусств - 
Библиотека-
Правгород -
Детская поликлиника - 
ул.Серафима Туликова -
мкр. «Кошелев» - ул.Домославская (ост.по требованию) -
Шопино 1","ул.Плеханова;
ул.Суворова;
ул.Герцена;
ул.Кирова;
ул.Гагарина;
Тульское шоссе; ул.Генерала Попова;
ул.Фомушина","9.4","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-
ний","5
(4+1)","любой","41571","ООО «Эталон-Сервис»","г.Калуга,
ул.Ленина,
д.6а, оф.7","городское",22,6.00,21.50,"10-30","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","21-21-31","Управление городского хозяйства города Калуги","70-11-34","[[54.514904, 36.252449], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.493267, 36.228230], [54.491369, 36.211515], [54.488970, 36.198640], [54.488995, 36.195314], [54.489158, 36.193040], [54.492193, 36.177590], [54.492663, 36.175434], [54.495549, 36.159277], [54.496585, 36.147175], [54.495549, 36.159277], [54.492663, 36.175434], [54.492193, 36.177590], [54.489158, 36.193040], [54.488995, 36.195314], [54.488970, 36.198640], [54.491369, 36.211515], [54.493267, 36.228230], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.515491, 36.247693], [54.517601, 36.248680], [54.516939, 36.254345], [54.515179, 36.253337]]"
6,"26
(м)","Городской рынок- ул.Серафима Туликова","Строительный техникум - Железнодорожная больница - Торговая база - пл.Победы - К-тр «Центральный» - Драмтеатр (в сторону пл.Победы) -
ТРЦ «РИО»  - ул.Кирова - ТРК «XXIвек»  -
КФ МГТУ им.Баумана - Ромоданово - 
Шопинский поворот-
поворот ул.Генерала Попова- Школа искусств - Библиотека - 
ул.Воротынская (из города) - 
парк «Губернский» (в стор.города)- ул.65 лет Победы (из города) - д/с Мозаика (из города) -
мкр. «Хороший» (из города)","Грабцевское шоссе - ул.Маршала Жукова - ул.Кирова;
ул.Гагарина;
Тульское шоссе; ул.Генерала Попова;
ул.Воротынская;
ул.65 лет Победы; ул.Серафима Туликова","10.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","19
(16+3)","любой","41507","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,6.10,21.40,"5-20",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.487244, 36.191151], [54.485083, 36.195228], [54.485326, 36.199605], [54.488506, 36.204755], [54.490067, 36.205645], [54.491085, 36.210366], [54.493221, 36.228380], [54.499485, 36.229088], [54.510599, 36.233723], [54.515516, 36.243207], [54.515241, 36.244473], [54.515628, 36.245996], [54.512557, 36.271832], [54.512045, 36.273312], [54.512706, 36.274621], [54.515016, 36.285049], [54.519023, 36.292023], [54.520247, 36.292688], [54.523086, 36.292334], [54.523143, 36.291873], [54.522943, 36.291229], [54.521688, 36.283955], [54.521751, 36.283386], [54.521501, 36.283140], [54.521470, 36.283354], [54.522999, 36.292388], [54.520091, 36.292592], [54.518948, 36.291830], [54.514980, 36.284728], [54.512820, 36.274493], [54.513519, 36.273119], [54.512845, 36.271768], [54.515841, 36.245804], [54.516877, 36.244903], [54.516603, 36.243165], [54.515666, 36.242757], [54.510560, 36.233401], [54.499564, 36.228827], [54.495355, 36.228291], [54.494787, 36.227250], [54.493251, 36.227229], [54.491451, 36.211309], [54.490152, 36.205515], [54.488990, 36.205172], [54.485261, 36.199421], [54.484836, 36.197104], [54.485267, 36.194690], [54.487347, 36.191117]]"
35,"26
(с)","ул.Серафима Туликова - Городской рынок","мкр. «Хороший» (из города) - д/с Мозаика (из города) - ул.65 лет Победы 
(из города) - парк «Губернский» (в стор.города) - ул.Воротынская (из города) - Библиотека - Школа искусств - поворот ул.Генерала 
Попова - Шопинский поворот - Ромоданово - КФ МГТУ им.Баумана-  ТРК «XXI век»  - ул.Кирова - ТРЦ «РИО» -  Драмтеатр (в сторону пл.Победы) - К-тр «Центральный»- Концертный зал - сквер Комсомола - 
Городской рынок - Строительный техникум - Железнодорожная больница — ул.Маршала Жукова -  пл.Победы","ул.Маршала Жукова; пл.Маяковского; Грабцевское шоссе; ул.К.Либкнехта; ул.Ленина; ул.Кирова;
ул.Гагарина;
Тульское шоссе; ул.Генерала Попова;
ул.Воротынская;ул.65 лет Победы; ул.Серафима Туликова","10.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Сред-ний","5
(4+1)","любой","40156","ООО «Эгоном-3»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.00,22.00,"5-20",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.487244, 36.191151], [54.485083, 36.195228], [54.485326, 36.199605], [54.488506, 36.204755], [54.490067, 36.205645], [54.491085, 36.210366], [54.493221, 36.228380], [54.499485, 36.229088], [54.510599, 36.233723], [54.515516, 36.243207], [54.515241, 36.244473], [54.515628, 36.245996], [54.512557, 36.271832], [54.512045, 36.273312], [54.512706, 36.274621], [54.515016, 36.285049], [54.519023, 36.292023], [54.520247, 36.292688], [54.523086, 36.292334], [54.523143, 36.291873], [54.522943, 36.291229], [54.521688, 36.283955], [54.521751, 36.283386], [54.521501, 36.283140], [54.521470, 36.283354], [54.522999, 36.292388], [54.520091, 36.292592], [54.518948, 36.291830], [54.514980, 36.284728], [54.512820, 36.274493], [54.513519, 36.273119], [54.512845, 36.271768], [54.515841, 36.245804], [54.516877, 36.244903], [54.516603, 36.243165], [54.515666, 36.242757], [54.510560, 36.233401], [54.499564, 36.228827], [54.495355, 36.228291], [54.494787, 36.227250], [54.493251, 36.227229], [54.491451, 36.211309], [54.490152, 36.205515], [54.488990, 36.205172], [54.485261, 36.199421], [54.484836, 36.197104], [54.485267, 36.194690], [54.487347, 36.191117]]"
