"полное наименование","Сокращённое наименование","Почтовый адрес учреждения","Геокоординаты учреждения: широта","Геокоординаты учреждения:долгота","адрес сайта учреждения в сети Интернет","адрес электронной почты учреждения","номер телефона учреждения","номер факса учреждения","реквизиты устава учреждения","цель учреждения","возраст воспитанников","направленность групп учреждения","режим функционирования групп учреждений","Должность руководителя учреждения","Ф.И.О. руководителя учреждения","Курирующий орган Городской Управы города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ города Калуги  необособленное структурное подразделение РАДУГА","МБДОУ № 21ЗОЛОТЫЕ ЗЁРНЫШКИ г.Калуги НСП РАДУГА","248017, Калужская обл., г.Калуга, ул. Новая Стройка, д.1","54.533196","36.267703","http://ds21klg.ru/","ds021@uo.kaluga.ru","+74842550262",,"Утвержден постановлением Городской Управы г. Калуги  от 30.06.2015 № 8238-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00","заведующий","Желтикова Наталия Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 26 ГВОЗДИКА города Калуги","МБДОУ № 26 ГВОЗДИКА г.Калуги","248032, Калужская область, г.Калуга, ул. Первых Коммунаров, д.19А","54.30315","36.31599","http://ds026.umi.ru/","ds026@uo.kaluga.ru","+74842768040",,"Утвержден постановлением Городской Управы города Калуги от 27.01.2015  № 618-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Сухова Наталья Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 29 ЗВЁЗДОЧКА города Калуги","МБДОУ № 29 г. Калуги","248003, Калужская область, г.Калуга, ул. Никитина, д.133б","54.512492","36.300615","http://ds029.umi.ru/o_shkole/3","ds029@uo.kaluga.ru","+74842220105",+74842220105,"Утвержден постановлением Городской Управы города Калуги от 21.01.2015 № 362-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Пафнучева Татьяна Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 30 города Калуги","МБДОУ № 30 г. Калуги","248003 Калужская область, г.Калуга, ул. Никитина, д.93а  (корпус №1)","54.509198","36.289403","https://ds30-klg.kinderedu.ru/","ds030@uo.kaluga.ru","+74842733418",,"Утверждён постановлением Городской управы города Калуги от 21.01.2015 №365-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Семенова Елена Викторовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 30 города Калуги","МБДОУ № 30 г. Калуги","248003 Калужская область, г.Калуга, ул. Мичурина, д.38а (корпус № 2)","54.508718","36.283587","https://ds30-klg.kinderedu.ru/","ds030@uo.kaluga.ru","+74842926489 ; +74842926490",,"Утверждён постановлением Городской управы города Калугиот от 21.01.2015  №365-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Семенова Елена Викторовна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 34 ЗОРЕНЬКА города Калуги","МБДОУ № 34 ЗОРЕНЬКА г.Калуги","248010, Калужская область, г.Калуга, ул.Социалистическая, д.2Б","54.5349","36.253098.","http://www.sadzorenka-kaluga.ru/","ds034@uo.kaluga.ru","+74842796827",+74842796826,"Утверждено постановлением Городской Управы города Калуги от 26.03.2015 № 3727-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница, группы полного дня (12-часового пребывания) с 6.30 до 18.30, группа продленного пребывания (14-часового пребывания) с 6.30 до 20.30","заведующий","Хорева Ирина Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 36 АЛЕНЬКИЙ ЦВЕТОЧЕК города Калуги","МБДОУ № 36 АЛЕНЬКИЙ ЦВЕТОЧЕК г. Калуги","248009, Калужская область, г.Калуга, ул. Платова, д.3","54.532679","36.297418","http://ds36kaluga.kinderedu.ru","ds036@uo.kaluga.ru","+74842538166",+74842538164,"Утвержден постановлением Городской Управы города Калуги от 22.04.2015 № 4893-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Кубова Татьяна Валерьевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 37 ВЕСЁЛЫЕ НОТКИ города Калуги","МБДОУ № 37 ВЕСЁЛЫЕ НОТКИ г.Калуги","248018, Калужская обл., г.Калуга, ул. Чехова, д.9","54.516741","36.291866","http://37-1962-1204.umi.ru","ds037@uo.kaluga.ru","+74842734408",,"Утвержден постановлением Городской Управы города Калуги от 21.01.2015 №361-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 6.30 до 18.30.","заведующий","Краснова Наталья Валерьевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 41 ИВУШКА города Калуги","МБДОУ № 41 ИВУШКА г.Калуги","248021, Калужская область, г.Калуга, ул.Московская, д.186","54.528404","36.267431","http://ivushka.kaluga.prosadiki.ru/","ds041@uo.kaluga.ru","+74842553186",+74842589662,"Утверждён постановление Городской Управы города Калуги от 30.01.2015 №921-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, комбинированная","понедельник-пятница с 7.00 до 19.00.","заведующий","Киселева Татьяна Анатольевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 44 АНЮТИНЫ ГЛАЗКИ города Калуги","МБДОУ № 44 АНЮТИНЫ ГЛАЗКИ г. Калуги","248002, Калужская областьг.Калуга, ул. Степана Разина, д.36 а","54.507468","36.274025","http://sadik44.ru","ds044@uo.kaluga.ru","+74842731542",+74842731435,"Утвержден постановлением Городской Управы города Калуги от 27.01.2015  № 606-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, комбинированная","понедельник-пятница с 7.00 до 19.00.","заведующий","Смирнова Светлана Александровна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 45 ОГОНЁК города Калуги","МБДОУ № 45 г. Калуги","248009, Калужская область, г.Калуга, ул.Молодежная, д.8","54.529608","36.298325","http://ds45klg.ru","ds045@uo.kaluga.ru","+74842551103",,"Утвержден постановлением Городской Управы города Калуги от 05.02.2015  № 1117-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 6.30 до 18.30.","заведующий","Стемплевская Людмила Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 49 БЕЛОЧКА города Калуги","МБДОУ № 49 БЕЛОЧКА  г. Калуги","248021, Калужская область г.Калуга, ул. Московская, 170","54.527458","36.266677","http://belochka-49.ru/","ds049@uo.kaluga.ru","+74842550369; +74842554930",,"Утвержден постановлением Городской Управы города Калуги от 06.02.2015 №1309-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Казакова Галина Викторовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 50 АЛЁНУШКА города Калуги","МБДОУ № 50 АЛЁНУШКА г. Калуги","248023, Калужская область, г.Калуга, ул.Тульская, д.68","54.510746","54.510746","http://ksad50.wixsite.com/sad50","ds050@uo.kaluga.ru","+74842546375",+74842546376,"Утвержден остановлением Городской Управы города Калуги от 31.03.2016  № 3934-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Горбачева Анна Владимировна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 51 ТОПОЛЁКгорода Калуги","МБДОУ № 51 ТОПОЛЁК г. Калуги","248002, Калужская область,  г.Калуга, ул. Степана Разина, д.57","54.50574761","36.27782106","http://kaluga-ds51.ru","ds051@uo.kaluga.ru","+74842730694; + 74842540003",,"Утвержден постановлением Городской Управы города Калуги от 26.03.2015  №3729-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Аксенова Оксана Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 53 ИСКОРКА города Калуги","МБДОУ №53 ИСКОРКА г. Калуги","248000, Калужская область, г.Калуга, ул. Циолковского, д.3","54.516749","36.238531","http://mdou01-kaluga.ru/","ds053@uo.kaluga.ru","+74842741103",,"Утвержден постановлением Городской Управы города Калуги от 05.02.2015  №1120-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Олейник Елена Юрьевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 53 ИСКОРКА города Калуги Необособленное структурное подразделение КАРАМЕЛЬКА","МБДОУ №53 ИСКОРКА г. Калуги НСП КАРАМЕЛЬКА","248600, Калужская область,  г.Калуга, ул. Академика Королёва, д.6","54.514739","36.235191","http://mdou01-kaluga.ru/","ds001@uo.kaluga.ru","+74842549342",,"Утвержден постановлением Городской Управы города Калуги от 05.02.2015  №1120-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 3 до прекращения образовательных отношений","общеразвивающая, кратковременного пребывания","понедельник-пятница, группа полного дня 7.00.- 19.00, группа кратковременного пребывания 8.00-13.00","заведующий","Олейник Елена Юрьевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 54 города Калуги","МБДОУ № 54 г. Калуги","248021, Калужская область, город Калуга, ул. Билибина, д.34","54.5293000","36.2754200","http://mbdou54.umi.ru","ds054@uo.kaluga.ru","+74842552445",,"Утвержден постановлением Городской Управы города Калуги от 21.01.2015  № 363-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Бархатова Елена Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 55 ПЧЁЛКА города Калуги","МБДОУ № 55 ПЧЁЛКА г.Калуги","248016, Калужская область, г.Калуга, ул.В.Андриановой, д.86","54.5247","36.2765","http://pchelka.kaluga.prosadiki.ru","ds055@uo.kaluga.ru","+74842557219",+74842557219,"Утверждён постановлением Городской Управы города Калуги от 18.05.2015 № 5912-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Бурлакова Татьяна Юрьевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 57 РЯБИНКА города Калуги","МБДОУ № 57 РЯБИНКА г. Калуги","248029, Калужская область г.Калуга, ул. Гурьянова ,д.35 А","54.566522","36.23405","http://mbdou57ryabinkakaluga.umi.ru/","ds057@uo.kaluga.ru","+74842 539680",+74842539603,"Утверждён постановление Городской Управы города Калуги от 26.01.2015 № 532-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Тихомирова Светлана Ивановна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 60 КОЛОСОК города Калуги","МБДОУ № 60 КОЛОСОК г.Калуги","248016, Калужская область, г.Калуга, ул.Баррикад, д.153.","54.518941","36.27363","http://www.kolosok60.ru/","ds060@uo.kaluga.ru","+74842550878; +74842551128",+74842550878,"Утверждёнпостановлением  Городской Управы города Калуги от 25.02.2015 №  2194-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Наумова Светлана Владимировна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 63 МАЛИНКА города Калуги","МБДОУ № 63 МАЛИНКА г. Калуги","248025, Калужская область, г.Калуга, ул. Радищева, д.2","54.548476","36.294626","http://ds063malinka.ru","ds063@uo.kaluga.ru","+74842515864",,"Утвержден постановлением Городской Управы города Калуги от 17.04.2015 №4643-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница полного дня (12-часового пребывания) с 6.30 до 18.30, продленного дня (14-часового пребывания) с 18.30 до 20.30.","заведующий","Пахомова Валентина Васильевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 64 ЗОЛОТАЯ РЫБКА города Калуги","МБДОУ № 64 ЗОЛОТАЯ РЫБКА г.Калуги","248021, Калужская область, г.Калуга, ул.Билибина, д.50а","54.5293","36.1619","http://ds64klg.ru/","ds064@uo.kaluga.ru","+74842550687;+74842551634",,"Утвержден постановлением Городской Управы города Калуги от 28.04.2015 № 5134-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Лезенко Людмила Анатольевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 66  ЯБЛОНЬКА города Калуги","МБДОУ № 66 г.Калуги","248016, Калужская обл. г.Калуга, ул.В.Андриановой, д.66","54.526319","36.274914","http://yablonka.kaluga.prosadiki.ru/","ds066@uo.kaluga.ru","+74842555114",+74842589662,"Утвержден постановлением Городской Управы города Калуги от 19.06.2015 № 7561-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Гайгерова Татьяна Павловна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 67 ПОЛЯНОЧКА города Калуги","МБДОУ № 67 ПОЛЯНОЧКА г.Калуги","248921, Калужская область, г.Калуга, д.Шопино, ул.Центральная, д.14","54.49457","36.15445","http://ds67polyanochka.umu.ru/","ds067@uo.kaluga.ru","+74842509050",+74842509050,"Утверждён постановлением Городской Управы города Калуги от 24.03.2015 № 3490-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Короткова Раиса Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 67 ПОЛЯНОЧКА города Калуги струтурное необособленное подразделение ЖУРАВЛЁНОК","МБДОУ № 67 ПОЛЯНОЧКА г.Калуги СНП ЖУРАВЛЁНОК","248911, Калужская область, г.Калуга, д.Колюпаново","54.434339","36.231373","http://ds67polyanochka.umu.ru/","ds062@uo.kaluga.ru","+74842509306",,"Утверждён постановлением Городской Управы города Калуги от 24.03.2015 № 3490-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Короткова Раиса Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 67 ПОЛЯНОЧКА города Калуги струтурное необособленное подразделение СОЛНЫШКО","МБДОУ № 67 ПОЛЯНОЧКА г.Калуги СНП СОЛНЫШКО","248033, Калужская область, г.Калуга, ул.Ромодановские дворики, д.61","54.487897","36.244354","http://ds67polyanochka.umu.ru/","ds067@uo.kaluga.ru",,,"Утверждён постановлением Городской Управы города Калуги от 24.03.2015 № 3490-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Короткова Раиса Николаевна","Управление образования города Калуги"
"муниципальное бюджетноедошкольное образовательноеучреждение № 70 КРАСНАЯ ШАПОЧКА города Калуги","МБДОУ № 70 КРАСНАЯ ШАПОЧКА г. Калуги","248018, Калужская область, Калуга, ул. М. Жукова, д.16.","54.513488","36.280518","http://ds70kaluga.umi.ru/","ds070@uo.kaluga.ru","+74842734257",+74842734257,"Утвержден постановлением Городской Управы города Калуги от 24.03.2015 № 3491-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Морозова Виктория Евгеньевна","Управление образования города Калуги"
