"полное наименование учреждения","Сокращенное наименование учреждения","Почтовый адрес учреждения","Геокоординаты учреждения широта","Геокоординаты учреждения долгота","Адрес сайта учреждения в сети  Интернет","Адрес электронной почты учреждения","Номер телефона учреждения","Номер факса учреждения","Реквизиты устава учреждения","Основные виды деятельности учреждения","Перечень закрепленных за школами территорий","Должность руководителя учреждения","Ф.И.О. руководителя учреждения","Курирующий орган Городской Управы города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №11  города Калуги","МБОУ  Средняя общеобразовательная школа № 11  г. Калуги","248021, Калужская область, г. Калуга, ул. Глаголева, д. 10а",54.535332,36.272525,"http://www.40203s004.edusite.ru/","Sch11@uo.kaluga.ru","8-4842-554-284, 8-4842-557-117, 8-4842-554-025","8-4842-554-284","Постановление Городской Управы города Калуги от 10.06.2015 № 7163-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","пл. Вокзальная
пл. Московская
пос. Железнодорожный
территория Железнодорожников
ул. Бутомы  
ул. Глаголева 
ул. Инженерная 
ул. Кирпичный завод МПС
ул. Московская, № 244-280 (четная сторона), № 199-289 (нечетная сторона)
ул. Параллельная
ул. Переходная 
ул. Товарная
ул. Чернышевского","директор","ОСИПОВ Геннадий Владимирович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №12  города Калуги","МБОУ  Средняя общеобразовательная школа № 12  г. Калуги","248009, Калужская область, г. Калуга, ул. Молодёжная, д. 5",54.53029,36.297552,"http://schl12klg.ucoz.ru/","Sch12@uo.kaluga.ru","8-4842-739-446, 8-4842-554-412, 8-4842-554-446, 8-4842-554-413","8-4842-739-446","Постановление Городской Управы города Калуги от 02.02.2015 № 984-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","Грабцевское шоссе, с № 32 до конца, кроме № 77 – до конца (нечетная сторона)
ул. Калужская, № 20-48 (четная сторона)
ул. Клюквина 
ул. Маяковского 
ул. Молодежная
ул. Моторная 
ул. Новаторская  
пер. Новаторский  
ул. Платова 
ул. Пригородная
Солнечный бульвар 
ул. им. Кожедуба
территория Психиатрической больницы
пр.Тайфуновский","директор","ПОВЕРЕННОВ Владимир Николаевич","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №13  города Калуги","МБОУ  Средняя общеобразовательная школа № 13  г. Калуги","248600, Калужская область, г. Калуга, ул. Баумана, д. 29",54.51119,36.239961,"http://sch13klg.ru/","Sch13@uo.kaluga.ru","8-4842-549-293, 8-4842-740-323, 8-4842-740-337","8-4842-740-323","Постановление Городской Управы города Калуги от 10.12.2015 № 16683-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Академика Королева, с № 16 до конца по четной стороне,  с № 45 до конца по нечетной стороне
ул. Баумана
ул. Березуевская
ул. Берендяковская 
пер. 1-й Берендяковский 
пер. 2-й Берендяковский 
ул. Гагарина (четная сторона)
ул. Достоевского, № 1-17 (все) 
ул. 3-5 июля 
ул. Карла Маркса 
ул. Кирова, № 2-16 (четная сторона), № 1-5 (нечетная сторона)
ул. Космонавта Комарова, с № 24 до конца
ул. Смоленская 
пер. Смоленский 
ул. Плеханова, с № 49 до конца
ул. Пушкина 
пер. Пушкина 
ул. Георгиевская
ул. Дзержинского, № 2-28 (четная сторона), № 1-23 (нечетная сторона)
ул. Рылеева, с № 44 до конца","директор","МИЛОВАНОВА Оксана Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №14  города Калуги","МБОУ  Средняя общеобразовательная школа № 14  г. Калуги","248016, Калужская область, г. Калуга, ул. Московская, д. 79",54.520263,36.263874,"http://www.school14.kaluga.ru/","Sch14@uo.kaluga.ru","8-4842-558-214, 8-4842-557-502, 8-4842-555-237","8-4842-558-214","Постановление Городской Управы города Калуги от 26.01.2015 № 578-пи","85.13 Образование основное общее , 85.14 Образование среднее общее,  85.12Образование начальное общее","ул. Алексеевская
ул. Баррикад, № 1-133 (все)
ул. Воронина 
ул. Герцена, № 1-15 (все)
ул. Ленина, № 40-68 (четная сторона)
ул. Московская, № 53-127 (все)
ул. Огарева, с № 48 до конца
ул. Поле Свободы, с № 70 до конца
ул. Пролетарская, № 42-100 (все), кроме 47, № 101-129 (нечетная сторона) 
ул. Суворова, № 97-129 (нечетная сторона)
ул. Труда, № 2-8 (четная сторона)
ул. Чижевского, № 1-6","директор","ПОЗНЯКОВА Ксения Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №15  города Калуги","МБОУ  Средняя общеобразовательная школа № 15  г. Калуги","248016, Калужская область, г. Калуга, ул. Ф.Энгельса, д. 12",54.516166,36.272866,"http://school-15-kaluga.narod.ru/","Sch15@uo.kaluga.ru","8-4842-531-987, 8-4842-530-023, 8-4842-575-748","8-4842-531-987","Постановление Городской Управы города Калуги от 03.02.2015 № 1076-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Кирова, с № 29 до конца по нечетной стороне
пер. Кирова
ул. Ленина, № 63-73 (нечетная сторона)
ул. Максима Горького, № 1-18 (все)
ул. Маршала Жукова, № 1-21 (нечетная сторона)
пл. Победы, № 1-9 (все)
ул. Суворова, с № 130 до конца
пер. Теренинский 
ул. Фридриха Энгельса, № 1-18, 20 
ул. Чижевского, с № 7 до конца","директор","ДРОЗДОВА Татьяна Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №16  города Калуги","МБОУ  Средняя общеобразовательная школа № 16  г. Калуги","248008, Калужская область, г. Калуга, пер. Дорожный, д. 5",54.572655,36.316129,"http://www.16-school.ru/","Sch16@uo.kaluga.ru","8-4842-704-275, 8-4842-517-452, 8-4842-704-279","8-4842-704-279","Постановление Городской Управы города Калуги от 26.01.2015 № 575-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Дорожная 
пер. Дорожный  
ул. Дружбы
ул. Литвиновская
пер. Литвиновский
ул. Новосельская
ул. Ольговка
ул. Ольговская  
пер. Ольговский
пер. Прончищева
ул. Сельская
пер. Сельский
ул. Тарутинская, с № 184 до конца по четной стороне, с № 185 до конца по нечетной стороне 
пр. 1-й Тарутинский
пр. 2-й Тарутинский
ул. Хуторская
пер. Хуторской
ул. Черновская
ул.Трифоновская","директор","ЧИКАЛОВА Марина Анатольевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №17  города Калуги","МБОУ  Средняя общеобразовательная школа № 17  г. Калуги","248021, Калужская область, г. Калуга, ул. К.Либкнехта, д.1",54.525912,36.265581,"http://sch17klg.ru/","Sch17@uo.kaluga.ru","8-4842-558-005, 8-4842-557-089, 8-4842-559-889","8-4842-558-005","Постановление Городской Управы города Калуги от 17.02.2015 № 1840-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Билибина, № 2-30 (четная сторона)
ул. Московская, № 128-184 (четная сторона)
ул. Огородная 
ул. Окружная, № 2-10 (четная сторона)
пер. Окружной
ул. Поле Свободы, № 1-20
ул. Пухова, № 39-57 (нечетная сторона), № 52-58 (четная сторона)
ул. Телевизионная, № 11-24 (все)
пер. Узкий","директор","ПОМАЗКОВ Василий Викторович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №18  города Калуги","МБОУ  Средняя общеобразовательная школа № 18  г. Калуги","248002, Калужская область, г. Калуга, ул. Энгельса, д. 119",54.505926,36.280538,"http://kaluga-shkola18.ucoz.ru/","Sch18@uo.kaluga.ru","8-4842-730-655, 8-4842-730-549","8-4842-730-655","Постановление Городской Управы города Калуги от 15.12.2015 № 16986-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Максима Горького, с № 62 до конца
ул. Мичурина, № 17-28 (все)
ул. Никитина, № 54-69 (все)
ул. Степана Разина, с № 1 до конца по нечетной стороне
ул. Тульская, № 56-67
ул. Фридриха Энгельса, с № 68 до конца по четной стороне, с № 65 до конца по нечетной стороне
дер. Георгиевское
дер. Пучково
дер. Тинино","директор","ЗВЕЗДОВА Марина Борисовна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Гимназия №19  города Калуги","МБОУ  Гимназия № 19  г. Калуги","248021, Калужская область, г. Калуга, ул. Московская, д. 165",54.526685,36.269174,"http://www.sova19.ru/","sch19@uo.kaluga.ru","8-4842-557-283, 8-4842-557-580, 8-4842-593-157","8-4842-557-580","Постановление Городской Управы города Калуги от 02.02.2015 № 985-пи","85.13 Образование основное общее , 85.14 Образование среднее общее,  85.12Образование начальное общее","ул. Московская, № 129-197 (нечётная сторона) 
ул. Билибина, с № 31, все до конца 
ул. Ленина, № 2-38 (четная сторона)
 ул. Карла Либкнехта, № 1–17 (все), 
№ 187","директор","АБАКУМОВА Ольга Витальевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Основная общеобразовательная школа №20  города Калуги","МБОУ  Основная общеобразовательная школа № 20  г. Калуги","248010, Калужская область, г. Калуга, ул. Широкая, д. 51а",54.535896,36.24509,"http://www.school20-kaluga.narod.ru/","Sch20@uo.kaluga.ru","8-4842-555-924, 8-4842-555-932","8-4842-555-932","Постановление Городской Управы города Калуги от 25.02.2015 № 2198-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Багговута
пер. Багговута
пер. 1-й Брусничный
пер. 2-й Брусничный
ул. Выгонная
ул. Высокая
ул. Гамазейная
ул. Калинина
пер. Калинина
пер. Карачевский 
ул. Овражная
ул. Пионерская
ул. Пухова
ул. Садовая
пер. 1-й Садовый
пер. 2-й Садовый
ул. Кооперативная, № 2, 8
ул. Нижне-Гамазейная
ул. Нижне-Лаврентьевская
пер. Нижне-Лаврентьевский
пер. Лаврентьевский
ул. Нижне-Садовая
ул. Социалистическая, с № 6 до конца
ул. Чичерина, с № 2 до конца по четной стороне
пер. Чичерина 
ул. Широкая
ул. Комсомольская роща
ул. Газовая
ул. Железняки 
ул. Парковая
ул. Ароматная
ул. Лазоревая
пер. Железняки
ул. Правды","директор","БИРЮКОВА Инна Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №21  города Калуги","МБОУ  Средняя общеобразовательная школа № 21  г. Калуги","248016, Калужская область, г. Калуга, ул. В.Андриановой, д. 3",54.520655,36.273055,"http://www.school21.kaluga.ru/","Sch21@uo.kaluga.ru","8-4842-571-305, 8-4842-579-019, 8-4842-578-246",,"Постановление Городской Управы города Калуги от 24.03.2015 № 3583-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Веры Андриановой 
ул. Баррикад, с № 134 до конца
пер. Баррикад
ул. Карла Либкнехта, с № 18 до конца
ул. Ленина, № 1-61 (нечетная сторона)
территория Машзавода
пер. Паровозный 
ул. Пролетарская, с № 102 до конца по четной стороне, с № 131 до конца по нечетной стороне
пер. Резервный
ул. Складская","директор","СЕВОСТЬЯНОВА Марина Эдуардовна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №22  города Калуги","МБОУ  Средняя общеобразовательная школа № 22  г. Калуги","248018, Калужская область, г. Калуга, ул. Хрустальная, д. 2",54.519965,36.294588,"http://22schoolkaluga.ru/","Sch22@uo.kaluga.ru","8-4842-737-191, 8-4842-737-112, 8-4842-738-106, 8-4842-737-105","8-4842-737-191","Постановление Городской Управы города Калуги от 09.02.2015 № 1436-пи","85.13 Образование основное общее , 85.14 Образование среднее общее,  85.12Образование начальное общее","ул. Аллейная
Грабцевское шоссе, № 22-31 (все)
ул. Заводская
пер. Заводской
пр. 1-й Заводской 
пр. 2-й Заводской 
ул. Калужская
пер. Калужский
пр. Киевский 
ул. Маяковского, № 1-44 (все)
пер. Маяковского
ул. Новая
ул. Песчаная
пер. Песчаный
ул. Проезжая
ул. Работниц
ул. Стекольная
пер. 1-й Стекольный 
пер. 2-й Стекольный 
территория Стекольного завода 
ул. Тополиная
ул. Хрустальная 
ул. Цветочная
ул. Чапаева
пер. Чапаева 
пер. Школьный
ул. Восточная
ул.Чехова
ул. Маршала Жукова, с № 32 до конца по четной стороне
ул. Подгорная, с № 27 до конца по нечетной стороне, с № 2 до конца по четной стороне","директор","ПОЛУЯХТОВ Альберт Валерьевич","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №23  города Калуги","МБОУ  Средняя общеобразовательная школа № 23  г. Калуги","248003, Калужская область, г. Калуга, ул. Мичурина, д. 45",54.51003,36.282002,"http://23калуга.рф/ ","Sch23@uo.kaluga.ru","8-4842-736-289, 8-4842-737-433, 8-4842-736-245, 8-4842-737-448","8-4842-736-245","Постановление Городской Управы города Калуги от 02.02.2015 № 980-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Киевка
пр. Красный 
ул. Максима Горького, № 19-61 (все)
пер. Максима Горького 
пер. Малый 
ул. Маршала Жукова, № 2-30 (четная сторона)
ул. Мичурина, с № 29 до конца
ул. Никитина, с № 71 до конца по нечетной стороне
ул. Пестеля
пер. 1-й Пестеля 
пер. 2-й Пестеля
ул. Стеклянников сад
ул. Тульская, с № 68 до конца
пр. Тульский 
ул. Фридриха Энгельса, № 20-66 (четная сторона), № 19-63 (нечетная сторона)
пер. Фридриха Энгельса
пер. 2-й Тульский","директор","ЗУБОВ Денис Юрьевич","Управление образования города Калуги"
